Drug_Name,Vina_Score_kcal_mol,Output_File
safinamide,-7.937,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\safinamide_docked.pdbqt
pipemidic_acid,-7.934,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pipemidic_acid_docked.pdbqt
lobenzarit,-7.933,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\lobenzarit_docked.pdbqt
biriperone,-7.932,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\biriperone_docked.pdbqt
naftazone,-7.932,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\naftazone_docked.pdbqt
naftopidil,-7.926,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\naftopidil_docked.pdbqt
nifurpirinol,-7.925,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nifurpirinol_docked.pdbqt
proquazone,-7.919,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\proquazone_docked.pdbqt
doxapram,-7.917,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\doxapram_docked.pdbqt
idelalisib,-7.914,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\idelalisib_docked.pdbqt
hetacillin,-7.911,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\hetacillin_docked.pdbqt
rosoxacin,-7.91,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\rosoxacin_docked.pdbqt
pregnenolone_succinate,-7.909,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pregnenolone_succinate_docked.pdbqt
nitrofurantoin,-7.906,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nitrofurantoin_docked.pdbqt
riociguat,-7.902,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\riociguat_docked.pdbqt
baricitinib,-7.898,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\baricitinib_docked.pdbqt
rolapitant,-7.897,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\rolapitant_docked.pdbqt
brexpiprazole,-7.893,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\brexpiprazole_docked.pdbqt
cyclacillin,-7.891,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cyclacillin_docked.pdbqt
vadadustat,-7.889,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\vadadustat_docked.pdbqt
lodoxamide,-7.882,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\lodoxamide_docked.pdbqt
delamanid,-7.879,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\delamanid_docked.pdbqt
anastrozole,-7.879,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\anastrozole_docked.pdbqt
phentetramine,-7.878,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\phentetramine_docked.pdbqt
oxycinchophen,-7.877,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\oxycinchophen_docked.pdbqt
methenolone,-7.874,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\methenolone_docked.pdbqt
estrone,-7.873,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\estrone_docked.pdbqt
mianserin,-7.873,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\mianserin_docked.pdbqt
ramosetron,-7.868,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\ramosetron_docked.pdbqt
eltanolone,-7.867,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\eltanolone_docked.pdbqt
mestranol,-7.867,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\mestranol_docked.pdbqt
iloprost,-7.864,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\iloprost_docked.pdbqt
mepixanox,-7.856,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\mepixanox_docked.pdbqt
difenpiramide,-7.855,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\difenpiramide_docked.pdbqt
